min_p_cent,max_p_grad,max_radius,max_uv,fraction_of_time_in_GLR,maturity_glr0_minus_genesis_ratio,sup_ttl_precip,mi_ttl_precip,huron_ttl_precip,erie_ttl_precip,ont_ttl_precip,sup_ttl_evap_anom,mi_ttl_evap_anom,huron_ttl_evap_anom,erie_ttl_evap_anom,ont_ttl_evap_anom,lat_gen,lon_gen,year,month,season,amo_unsmoothed_value,ao_value,ea_wr_value,enso_best_value,ipo_value,nao_value,pdo_value,pna_value,pol_value,qbo_value,wp_value,k2_cluster,k2_posterior
981.7201563,29.00287332,1413.573596,134.0055646,0.166666667,0.0,0.03622614391,0.03688164504,0.03855438362,0.01520451054,0.01370362847,0.0057897121319276,0.0020209316419408,0.0017414154720518,-0.000616447388695,-0.0002544984897747,38.68632186,-92.33202368,2013,4,MAM,0.062325235,0.243986528,-0.242673653,-0.304330718,-0.371566733,0.550700637,-0.575298882,-1.808620161,-1.49903822,11.35413052,-1.779946121,0,0.9999686927902474
1006.473984,12.86071833,604.3679297,71.11391394,0.1875,0.0,0.0285962943,0.01279026795,0.02384152597,0.02296795881,0.0164027139,0.0008471592786554,0.0005348259625571,0.0013018752140875,0.0001490248674301,0.0007166368568964,43.18494313,-89.71775706,2013,4,MAM,0.062325235,0.243986528,-0.242673653,-0.304330718,-0.371566733,0.550700637,-0.575298882,-1.808620161,-1.49903822,11.35413052,-1.779946121,0,0.9999161295294371
996.1241406,20.22880797,505.4143683,115.5920499,0.545454545,0.0,0.02016748737,0.01489168978,0.02610832977,0.02305537826,0.01823322328,0.0007072330641106,0.0004213050543001,0.0013693629732286,-0.0001535442799177,0.0005972995032855,48.23321747,-83.38201271,2013,4,MAM,0.062325235,0.243986528,-0.242673653,-0.304330718,-0.371566733,0.550700637,-0.575298882,-1.808620161,-1.49903822,11.35413052,-1.779946121,1,0.8962413411063431
997.5082031,20.00681216,883.5468272,62.88140439,0.6,0.2,0.02662663958,0.03610791041,0.03164149902,0.00734923171,0.009896993768,0.0001073474584272,-0.0011028467502429,0.0006566276188078,-0.0018958722855589,-3.18468687579862e-05,42.756451,-100.98065,2013,4,MAM,0.062325235,0.243986528,-0.242673653,-0.304330718,-0.371566733,0.550700637,-0.575298882,-1.808620161,-1.49903822,11.35413052,-1.779946121,1,0.9992540411825162
990.7822656,25.44415545,662.1720835,137.8405447,0.090909091,0.181818182,0.02370797302,0.01101661946,0.007990312863,0.001760820928,0.005278505224,-0.001725364071257,-0.0043852847782821,-0.0023333061895449,-0.0024199969404735,-0.0011812509546895,43.99709451,-102.4354415,2013,5,MAM,0.027121406,0.415240499,-1.902153932,-0.914668146,-0.498838849,0.530345348,-0.336673527,-0.289079172,0.16140118,15.60297167,-1.049687915,0,0.9995782461585343
995.58,17.64763333,1255.242581,136.7209295,0.608695652,0.0,0.01000189244,0.02313449754,0.02721701436,0.02165913574,0.02541189583,0.0041210227959289,0.0020778994051779,0.0055842604668752,0.0086920363097691,0.003279965557338,41.66234594,-92.46575899,2013,5,MAM,0.027121406,0.415240499,-1.902153932,-0.914668146,-0.498838849,0.530345348,-0.336673527,-0.289079172,0.16140118,15.60297167,-1.049687915,1,0.9948682105775548
1009.125078,12.19269288,514.0011727,79.73051306,0.375,0.625,0.003267123542,0.02248395719,0.02587371627,0.01787498766,0.01716898976,0.0037483311027726,0.0018280067246817,0.0039454460817804,0.0077974517051221,0.0027682421435146,54.02328957,-115.1045687,2013,5,MAM,0.027121406,0.415240499,-1.902153932,-0.914668146,-0.498838849,0.530345348,-0.336673527,-0.289079172,0.16140118,15.60297167,-1.049687915,1,0.9999999249213324
994.6230469,14.41651395,1105.941109,87.62173238,0.157894737,0.0,0.0009984272306,0.004178501832,0.001550292424,0.0008738475665,0.001339899801,0.0006193492789679,-0.000852200608711,0.001312367206036,-0.0003191228831778,0.0002229740509432,50.5518166,-82.33952467,2013,5,MAM,0.027121406,0.415240499,-1.902153932,-0.914668146,-0.498838849,0.530345348,-0.336673527,-0.289079172,0.16140118,15.60297167,-1.049687915,0,0.999972953858405
1002.535313,13.9622747,1172.306672,105.2106099,0.310344828,0.551724138,0.04843723147,0.03109941615,0.03050679452,0.02329593549,0.023915361,-1.82272629922525e-06,-0.000637538422912,0.0023533695426803,0.005132604174386,0.0023854445544812,38.85366283,-102.8388163,2013,5,MAM,0.027121406,0.415240499,-1.902153932,-0.914668146,-0.498838849,0.530345348,-0.336673527,-0.289079172,0.16140118,15.60297167,-1.049687915,1,0.9999000724569901
1002.603438,10.61242641,918.8672228,82.84550302,0.103448276,0.0,0.01185581381,0.0308404524,0.01879141438,0.07873375761,0.04578481395,0.0011514206019861,-0.0017817392806936,0.0006556928452362,-0.004094772406242,-0.0022721652387065,42.53134415,-80.76667649,2013,6,JJA,-0.028082422,0.46939447,-2.14163421,-0.955005574,-0.650110965,0.779990058,-1.198048171,-0.399538184,0.131840579,16.34181282,-0.389429709,0,0.9999964615390096
