sup_ttl_precip,mi_ttl_precip,huron_ttl_precip,erie_ttl_precip,ont_ttl_precip,sup_ttl_evap_anom,mi_ttl_evap_anom,huron_ttl_evap_anom,erie_ttl_evap_anom,ont_ttl_evap_anom
0.0019125529041619954,0.0016792572579750243,0.004516696352494504,0.019543293672122108,0.018705302906910585,-0.15909632834330523,-0.23412095613774966,-0.5321391573149185,-0.7929223809663719,-0.3445661271023781
0.006337421058327968,0.008417310833664728,0.0094671299720074,0.029735613793926596,0.020730241047130227,0.25468890913742787,0.05742662300769746,-0.09534660317953048,-0.02186232569466765,-0.03160321948680759
0.0254550623394799,0.03121638400420374,0.03120919978016341,0.04822201518431117,0.0456915121115215,0.2741013007758411,-0.6003423523131082,-0.37922425730052733,0.2786691038206667,0.23720025030414255
0.017016109342901882,0.010263378878224589,0.012618153206812128,0.025591004037849422,0.023462247220737805,0.18421212580315757,-1.4984722784082845,-1.984346534601102,-1.2398927318784032,-1.6224586697029568
0.006359153654712539,0.004422902530458361,0.006285893312320614,0.0058188535868277875,0.0066627375862535546,0.5331778282374867,-1.2215712998499717,-2.0709878556616674,-1.6823351749630209,-2.1729595002157986
0.011529546601648441,0.010967911951765608,0.017447140608411862,0.024618948413818034,0.03100743596001213,0.3435230611899715,0.619771223445043,0.15957821569271494,0.5610123974444764,0.5972758795127981
0.018498854223899762,0.031893745982158744,0.026385590401683243,0.015526748742975207,0.011627364439978971,0.2320628239582876,0.4490001372635024,0.7502424498605788,0.9476187062100636,1.2330914146452914
0.0017364934222118807,0.005583996432252526,0.004985061905974806,0.019831676874236634,0.017056147406063375,0.16047504914889876,-0.3761234106027628,-0.35820453570795396,-0.7097497573619221,-0.681307503935383
0.02014196873296897,0.01716707689018646,0.02217288659911385,0.0801735735717597,0.032602535285774926,-0.16816095601120878,1.3162569212829789,2.131634531251607,1.7979605105037801,3.2551579392260233
0.019451133176417525,0.01617966837749903,0.021585350046376073,0.08758453920078306,0.03832807256049234,-0.4798261937045197,0.9420071522142557,1.7789741356194488,1.4522298377510725,2.9490010486475136
0.007705349400675144,0.005900085215357669,0.007467665449589811,0.02058050310370346,0.02183534032665741,0.205384996056855,0.24105585863722656,0.1542223189998641,-0.18590239708305464,-0.06003521394436514
0.0011618737631912156,0.013204378218362308,0.008098778183003037,0.055676012681638624,0.027983310349400336,0.11323338186522092,-0.13749535378471778,-0.07232588092086924,-0.2633901493946862,-0.07992710555701293
0.014087048962989157,0.0336668062251239,0.043727629232170516,0.07239059494818459,0.053982820866556626,-0.11338799417618917,-0.3146019186565859,-0.0177857803130732,-0.3792958330961219,-0.26274171176380084
0.009226306434496566,0.03236488964845053,0.03667358447351031,0.07513192673325243,0.0531748668193935,-0.013292943993257346,-0.3394632987404512,-0.16784366731562372,-0.10057137078705036,-0.4685892876280123
0.009364448366448112,0.01830900357188524,0.0313483146717459,0.023714705326594993,0.03698856221850254,-0.01053203810591876,-0.17771512912810675,0.051148737136076594,-0.17835775326690817,0.032716084472984276
0.004997088729145834,0.0040695033274862295,0.009798196509048358,0.004981424079392303,0.0059679771448204015,-0.11443288608668425,-0.3208971958763081,-0.14195759076230352,-1.0697285686376667,-0.6535583996572903
0.0067433643257189466,0.007679498027215691,0.010808469477566725,0.007345901675852244,0.006711386179958881,-0.07457914353062561,-0.44348594420414,-0.14275450868070874,-1.5340059924561862,-1.2574343335716576
0.0018009832556242218,0.007187987409955214,0.008450299437675732,0.031276416588370846,0.02485996541537457,0.07464609258994725,-0.5058789496916637,-0.24758445587205086,-1.705388813842539,-2.0008039312900205
0.0017455406571020638,0.00577023810920053,0.008222003502067013,0.03041459031937763,0.026090011383486288,0.09009892313877226,-0.5883079318333835,-0.25975659753526614,-2.000474283781002,-2.4441968203701467
0.0015505552676270099,0.0024869390020414986,0.0030439524723955376,0.009104712032192583,0.010662131918117953,0.03622513679591959,-0.3944256263597976,-0.18739380207518258,-1.6546516806761575,-2.0120234525839193
0.007863293118079706,0.004614304702667269,0.00198446963697034,0.00892494393750511,0.0022254249040670063,0.15758060545020902,0.33988273440232825,0.06715426296330221,-0.5254655969890378,-0.8014781556410708
0.018377409214035433,0.014920185394336162,0.012478603364127412,0.012178616676313045,0.011436870949297231,-0.09641209549992039,-0.057379270848788536,-0.14452826745202713,-0.4079340450094903,-0.248923777550099
0.0003732733248434574,0.008284489654411064,0.006672960195682956,0.02093357478880968,0.013187844840552467,0.2909338695534541,-0.1282422350173507,0.014797906149201859,-0.24786654099237307,-0.0038577339162038163
