min_p_cent,max_p_grad,max_radius,max_uv,fraction_of_time_in_GLR,maturity_glr0_minus_genesis_ratio,sup_ttl_precip,mi_ttl_precip,huron_ttl_precip,erie_ttl_precip,ont_ttl_precip,sup_ttl_evap_anom,mi_ttl_evap_anom,huron_ttl_evap_anom,erie_ttl_evap_anom,ont_ttl_evap_anom,lat_gen,lon_gen,year,month,season,amo_unsmoothed_value,ao_value,ea_wr_value,enso_best_value,ipo_value,nao_value,pdo_value,pna_value,pol_value,qbo_value,wp_value,raw_cluster,k2_posterior,k2_cluster,storm_type
998.4889838,20.23044859,804.2175701,85.78826353,0.411764706,0.470588235,0.001162549,0.013291941,0.008131662,0.057255091,0.028378521,0.000169404,-0.000608211,-0.0002082,-0.000860877,9.13e-06,51.78087031,-123.5476591,1950,2,DJF,0.061827215,0.96267642,-0.806622428,-1.618560066,-1.167302766,0.230010092,-2.283318504,-1.39068935,1.057897103,-7.527462455,-1.475666458,0,0.9995747601648144,2,Type 2 (Later-entry storms)
997.2920376,26.12725216,1027.131116,113.1255204,0.6,0.4,0.014186739,0.034239947,0.044697771,0.075075181,0.05546647,-0.000762215,-0.001439642,1.25e-05,-0.001377341,-0.000734256,24.00583573,-99.00477913,1950,2,DJF,0.061827215,0.96267642,-0.806622428,-1.618560066,-1.167302766,0.230010092,-2.283318504,-1.39068935,1.057897103,-7.527462455,-1.475666458,0,0.9992617163781978,2,Type 2 (Later-entry storms)
1001.707132,17.98536759,859.8108575,91.46245542,0.142857143,0.857142857,0.009269,0.032894329,0.037354357,0.078026362,0.054614046,-0.000349114,-0.001557655,-0.000596863,-0.000141183,-0.001590062,34.8516739,-102.8311226,1950,2,DJF,0.061827215,0.96267642,-0.806622428,-1.618560066,-1.167302766,0.230010092,-2.283318504,-1.39068935,1.057897103,-7.527462455,-1.475666458,0,0.9999999998386411,2,Type 2 (Later-entry storms)
989.3785898,19.24687159,1368.5959,128.0713919,0.0,0.0,0.009408432,0.018477641,0.031844848,0.023998135,0.037681152,-0.000337756,-0.000795614,0.000290188,-0.000484175,0.000459657,39.19832812,-75.86863358,1950,2,DJF,0.061827215,0.96267642,-0.806622428,-1.618560066,-1.167302766,0.230010092,-2.283318504,-1.39068935,1.057897103,-7.527462455,-1.475666458,1,0.9999848898506355,1,Type 1 (Earlier-entry storms)
1001.659469,16.97421818,828.2256967,76.37146263,0.1,0.9,0.005009595,0.004077795,0.009846356,0.004993852,0.005985821,-0.000766541,-0.001469494,-0.000491261,-0.004527759,-0.002376767,53.8126009,-124.7407893,1950,2,DJF,0.061827215,0.96267642,-0.806622428,-1.618560066,-1.167302766,0.230010092,-2.283318504,-1.39068935,1.057897103,-7.527462455,-1.475666458,0,0.9999999999964722,2,Type 2 (Later-entry storms)
968.8030266,40.96545173,1563.018994,122.3174367,0.181818182,0.0,0.006766152,0.007709061,0.010867092,0.007372949,0.006733958,-0.000601741,-0.002054984,-0.000494509,-0.006720969,-0.00507129,48.88539387,-90.15959786,1950,2,DJF,0.061827215,0.96267642,-0.806622428,-1.618560066,-1.167302766,0.230010092,-2.283318504,-1.39068935,1.057897103,-7.527462455,-1.475666458,1,0.9999980076506146,1,Type 1 (Earlier-entry storms)
990.4228003,27.17759076,1037.345824,134.8849319,0.384615385,0.538461538,0.001802606,0.007213883,0.008486104,0.031770663,0.025171551,1.17e-05,-0.002356071,-0.000923443,-0.007546554,-0.008689499,37.23775827,-102.5972614,1950,2,DJF,0.061827215,0.96267642,-0.806622428,-1.618560066,-1.167302766,0.230010092,-2.283318504,-1.39068935,1.057897103,-7.527462455,-1.475666458,0,0.9583632302699444,2,Type 2 (Later-entry storms)
1000.978486,15.77982055,563.8368548,111.0132521,0.5,0.5,0.001747065,0.005786918,0.008255897,0.030881839,0.026433335,7.49e-05,-0.002757109,-0.000973465,-0.008988999,-0.011032696,58.11692626,-123.9728677,1950,2,DJF,0.061827215,0.96267642,-0.806622428,-1.618560066,-1.167302766,0.230010092,-2.283318504,-1.39068935,1.057897103,-7.527462455,-1.475666458,0,0.9999971450441962,2,Type 2 (Later-entry storms)
982.6059279,26.31891329,779.3427048,105.877531,0.25,0.166666667,0.001551758,0.002490034,0.00304859,0.009146286,0.010719175,-0.000145699,-0.00181971,-0.000676752,-0.007301224,-0.008746967,36.85324559,-101.9984323,1950,2,DJF,0.061827215,0.96267642,-0.806622428,-1.618560066,-1.167302766,0.230010092,-2.283318504,-1.39068935,1.057897103,-7.527462455,-1.475666458,1,0.9981533409159694,1,Type 1 (Earlier-entry storms)
1008.651247,13.60621382,751.4001335,103.9134147,0.4,0.0,0.00789429,0.004624967,0.00198644,0.00896489,0.002227903,0.000350185,0.00155571,0.000354463,-0.002033641,-0.003018462,45.69034178,-92.82529176,1950,2,DJF,0.061827215,0.96267642,-0.806622428,-1.618560066,-1.167302766,0.230010092,-2.283318504,-1.39068935,1.057897103,-7.527462455,-1.475666458,1,0.8744024093311784,1,Type 1 (Earlier-entry storms)
