month,Type 1 (Earlier-entry storms),Type 2 (Later-entry storms)
1,225,153
2,151,130
3,180,156
4,168,150
5,170,139
6,122,77
7,100,62
8,96,37
9,116,99
10,173,125
11,181,113
12,221,172
