track_id,year,month,day,hour,year_genesis,month_genesis,day_genesis,hour_genesis,lat_gen,lon_gen,gen_bin,year_of_GLR_0,month_of_GLR_0,day_of_GLR_0,hour_of_GLR_0,min_p_cent,max_p_grad,max_radius,max_uv,sup_ttl_precip,mi_ttl_precip,huron_ttl_precip,erie_ttl_precip,ont_ttl_precip,sup_ttl_evap,mi_ttl_evap,huron_ttl_evap,erie_ttl_evap,ont_ttl_evap,sup_ttl_evap_anoms,mi_ttl_evap_anoms,huron_ttl_evap_anoms,erie_ttl_evap_anoms,ont_ttl_evap_anoms,sup_ttl_runoff,mi_ttl_runoff,huron_ttl_runoff,erie_ttl_runoff,ont_ttl_runoff,sup_ttl_P_minus_E,mi_ttl_P_minus_E,huron_ttl_P_minus_E,erie_ttl_P_minus_E,ont_ttl_P_minus_E,all_lakes_ttl_precip,all_lakes_ttl_evap,all_lakes_ttl_runoff,total_hours_in_GLR,genesis_date_time,lysis_date_time,glr0_date_time,fraction_of_time_in_GLR,maturity_glr0_minus_genesis_ratio,north_south_gen_lat,east_west_gen_lon,amo_unsmoothed_bin,amo_unsmoothed_value,ao_bin,ao_value,ea_wr_bin,ea_wr_value,enso_best_bin,enso_best_value,ep_np_bin,ep_np_value,ipo_bin,ipo_value,nao_bin,nao_value,pdo_bin,pdo_value,pna_bin,pna_value,pol_bin,pol_value,qbo_bin,qbo_value,tnh_bin,tnh_value,wp_bin,wp_value
29,1979,1,5,18,1979,1,2,18,37.76601172,-76.8907918,,1979,1,3,0,1001.749688,16.46537685,1659.810852,114.2234759,0.008990951181,0.006884921569,0.01038940075,0.009384048942,0.01081335698,0.0160313343818595,0.0177204990090006,0.0130537688106779,0.0125875239328406,0.0109980897466854,0.0062924074509993,0.009075893212011,0.0046773966965317,0.0067132996736353,0.0033179098459675,0.000523607,0.00052668,0.00483633,0.008889265,0.012472002,-7.04038319829738,-10.8355774080135,-2.66436807100056,-3.20347497016423,-0.184732752506774,0.050302911,0.036178112,0.027247884,72,1/2/1979 18:00,1/5/1979 18:00,1/3/1979 0:00,0,0.083333333,-1,1,-1,-0.173901264,-2,-2.086595602,-1,-0.846279123,1,0.224352314,2,2.130958143,1,0.128272964,-2,-2.023275371,-1,-0.430320075,-2,-1.399966383,1,0.670368664,1,5.300417179,1,0.4,2,1.40393111
135,1979,2,16,12,1979,2,11,18,38.85366283,-102.8388163,,1979,2,12,0,1013.141406,13.79585017,1018.280145,136.8764298,0.01180608374,0.01110321061,0.00714234067,0.00620371755,0.002882346551,0.0077247014756554,0.0092865076142036,0.0089670999827574,0.0066564188608236,0.0109170048327798,-0.0003770795608466,0.0024865723513901,0.002171182146717,0.003055043856397,0.00416295818487,0.000180596,0.000198075,0.000380438,0.000515321,0.000878971,4.08138225586935,1.81670297985791,-1.82475930640612,-0.452701313475528,-8.03465827986053,0.0381399,0.020026742,0.002153401,90,2/11/1979 18:00,2/16/1979 12:00,2/12/1979 0:00,0.157894737,0.052631579,-1,-1,-1,-0.133105093,-1,-0.551041631,-1,-0.255759402,-1,-0.285985114,-1,-0.169096933,-1,-0.123999152,-2,-1.10363066,-2,-1.18169472,-2,-2.590425395,2,1.770808063,1,7.55925833,-1,-0.57,-1,-0.685810683
173,1979,2,17,0,1979,2,15,0,39.33979433,-102.9553193,,1979,2,15,18,1006.656328,14.99079133,1030.322023,134.649796,0.008809391531,0.008431283284,0.01143750357,0.004574938081,0.006721077283,0.0064237919178376,0.0082976365011256,0.0095452896520176,0.0078004164978054,0.0123629086645997,-0.0009253043063399,0.0021954347166513,0.003342496700131,0.0044952672948159,0.0061682651818545,0.00015637,0.000170634,0.000329583,0.00042068,0.000764563,2.38559961917024,0.133646777085971,1.89221395020203,-3.22547841239161,-5.64183137552384,0.038009474,0.019340374,0.00184183,84,2/15/1979 0:00,2/17/1979 0:00,2/15/1979 18:00,0.25,0.375,-1,-1,-1,-0.133105093,-1,-0.551041631,-1,-0.255759402,-1,-0.285985114,-1,-0.169096933,-1,-0.123999152,-2,-1.10363066,-2,-1.18169472,-2,-2.590425395,2,1.770808063,1,7.55925833,-1,-0.57,-1,-0.685810683
272,1979,2,24,0,1979,2,22,18,39.33979433,-102.9553193,,1979,2,23,6,999.7167188,22.56681615,955.797768,58.95813662,0.0157267307,0.006643481943,0.01067555329,0.01288955089,0.01087817129,0.004720765151046,0.0042356968973748,0.0048831103840078,0.0009049736009233,0.002636777630607,-0.0023022521222529,-0.0014948134322034,-0.0011510428710525,-0.0022352640244219,-0.0034466219595157,0.000241242,0.002069757,0.002824629,0.012900362,0.005754881,11.0059655974423,2.40778509516281,5.79244288055206,11.9845772558304,8.24139367689046,0.057410193,0.021418885,0.023790871,90,2/22/1979 18:00,2/24/1979 0:00,2/23/1979 6:00,0.6,0.4,-1,-1,-1,-0.133105093,-1,-0.551041631,-1,-0.255759402,-1,-0.285985114,-1,-0.169096933,-1,-0.123999152,-2,-1.10363066,-2,-1.18169472,-2,-2.590425395,2,1.770808063,1,7.55925833,-1,-0.57,-1,-0.685810683
305,1979,2,28,6,1979,2,26,12,51.4288495,-113.3768039,,1979,2,27,18,1011.595859,12.43064099,874.0387445,106.7544741,0.005250339579,0.001610900116,0.004713997153,0.01479142549,0.02080322347,0.0032011094662818,0.0021461081240561,0.0029952002403855,0.001160062530165,0.0028498613665479,-0.0029472744439496,-0.0027014312551043,-0.002276630768347,-0.0015555450488975,-0.0025614506815865,0.000135598,0.000639752,0.000800587,0.006200314,0.003251516,2.04923010840334,-0.535208017408357,1.71879688926308,13.6313630351778,17.9533620139181,0.044974775,0.014486359,0.011027767,84,2/26/1979 12:00,2/28/1979 6:00,2/27/1979 18:00,0.285714286,0.714285714,1,-1,-1,-0.133105093,-1,-0.551041631,-1,-0.255759402,-1,-0.285985114,-1,-0.169096933,-1,-0.123999152,-2,-1.10363066,-2,-1.18169472,-2,-2.590425395,2,1.770808063,1,7.55925833,-1,-0.57,-1,-0.685810683
48,1979,2,5,6,1979,2,2,12,54.65611549,-118.0507758,,1979,2,3,18,1003.636719,17.05539244,494.2700048,115.864817,0.01465544394,0.00938771916,0.01049321213,0.003695996919,0.005217604267,0.013668213598767,0.0149427069692336,0.0119274874817236,0.0083628378855262,0.0103742449312843,0.0027110081526682,0.0055356858868021,0.0028661767961379,0.0033102692871283,0.001363130140114,0.000262719,0.000282847,0.000537816,0.000859284,0.001576378,0.987230340365025,-5.55498782348055,-1.43427535838115,-4.66684095442673,-5.15664063799075,0.044505301,0.032340254,0.003519044,108,2/2/1979 12:00,2/5/1979 6:00,2/3/1979 18:00,0.545454545,0.454545455,1,-1,-1,-0.133105093,-1,-0.551041631,-1,-0.255759402,-1,-0.285985114,-1,-0.169096933,-1,-0.123999152,-2,-1.10363066,-2,-1.18169472,-2,-2.590425395,2,1.770808063,1,7.55925833,-1,-0.57,-1,-0.685810683
65,1979,2,8,12,1979,2,5,0,51.4288495,-113.3768039,,1979,2,6,12,1005.178828,14.87814755,708.0523079,86.14788005,0.01327315362,0.00913861829,0.01355042538,0.005171468387,0.01015237995,0.0176450007428475,0.0189352142255419,0.0145695890756166,0.0097730196794004,0.0124877842638068,0.0061617342054515,0.0091935418818733,0.0050719530119699,0.004650401770374,0.0030557502988394,0.00026772,0.000292211,0.000555324,0.000833078,0.001468414,-4.37184712515017,-9.79659592960453,-1.01916370695406,-4.60155131325335,-2.33540429349301,0.050973391,0.039212462,0.003416747,120,2/5/1979 0:00,2/8/1979 12:00,2/6/1979 12:00,0.571428571,0.428571429,1,-1,-1,-0.133105093,-1,-0.551041631,-1,-0.255759402,-1,-0.285985114,-1,-0.169096933,-1,-0.123999152,-2,-1.10363066,-2,-1.18169472,-2,-2.590425395,2,1.770808063,1,7.55925833,-1,-0.57,-1,-0.685810683
75,1979,2,9,6,1979,2,6,6,26.65887129,-94.92343738,,1979,2,8,0,999.5682813,13.22205544,817.1015765,93.41510762,0.008165502332,0.00543006568,0.009609332827,0.004110201344,0.00820087682,0.011090890203592,0.0112802556733451,0.0083633030093952,0.0056196964924809,0.0067748989520704,0.0040394839417098,0.0053066935772886,0.0025303563155621,0.0024981439880708,0.0009949427850292,0.000163432,0.000178589,0.000340099,0.000504419,0.000883424,-2.92538786807321,-5.85018999288339,1.2460298140256,-1.50949517329422,1.42597786497008,0.035060595,0.023668649,0.002069963,72,2/6/1979 6:00,2/9/1979 6:00,2/8/1979 0:00,0,0.583333333,-1,1,-1,-0.133105093,-1,-0.551041631,-1,-0.255759402,-1,-0.285985114,-1,-0.169096933,-1,-0.123999152,-2,-1.10363066,-2,-1.18169472,-2,-2.590425395,2,1.770808063,1,7.55925833,-1,-0.57,-1,-0.685810683
0,1979,3,2,6,1979,2,20,18,37.49434012,-102.0062011,,1979,2,21,0,1000.359219,19.91324276,986.5254568,136.9416021,0.02759662372,0.01581700013,0.01973792724,0.01826543071,0.01108593334,0.0042775995460089,0.003113209351075,0.0033862337397636,0.0007283894408955,0.0031290916757076,-0.0038582515455661,-0.0035808416089593,-0.0036462863692946,-0.0029950400721916,-0.0039397126916821,0.000265337,0.002288142,0.003150012,0.018844286,0.005963819,23.3190241952717,12.7037908850878,16.3516934600645,17.5370411655128,7.95684165921551,0.093388282,0.022117798,0.030511596,102,2/20/1979 18:00,3/2/1979 6:00,2/21/1979 0:00,0.131578947,0.026315789,-1,-1,-2,-0.210308921,-1,-0.668987659,-1,-0.155239681,1,0.283677457,1,0.840847991,-1,-0.042271268,1,0.50601405,1,0.446930636,1,0.219115594,-2,-1.908752538,1,4.328099482,-99999,-99999,-1,-0.315552477
151,1979,3,15,6,1979,3,11,6,41.15488604,-72.07967009,,1979,3,11,6,1006.101953,9.395105429,1827.530159,77.81276901,0.006870034784,0.00355752933,0.008881547481,0.00630970565,0.007820116968,0.0057234337856487,0.0078036303201933,0.0070032785871636,0.0054256908794065,0.0062041341642624,0.0010227699393738,0.0040727029174762,0.0028558854801933,0.0030929954787412,0.0016775016959548,0.00013566,0.001585803,0.002281604,0.002556587,0.002938064,1.14660101638329,-4.24610097609255,1.87826889308072,0.884014732512862,1.61598286815855,0.034655357,0.025397352,0.009497718,72,3/11/1979 6:00,3/15/1979 6:00,3/11/1979 6:00,0,0,-1,1,-2,-0.210308921,-1,-0.668987659,-1,-0.155239681,1,0.283677457,1,0.840847991,-1,-0.042271268,1,0.50601405,1,0.446930636,1,0.219115594,-2,-1.908752538,1,4.328099482,-99999,-99999,-1,-0.315552477
